Property address,CS - NOI,CS - PV size (kW),Building type,Utility,Gross roof area (ft²),Owner name
"2 Pulaski St, Bayonne, NJ 07002","$293,682","2,997","Industrial, Manufacturing",Public Service Elec & Gas Co,"249,730",130 BAYONNE PROPERTY OWNER LLC
"770 Cannery Rd, Northumberland, PA 17857","$113,692","5,685","Industrial, Manufacturing",PPL Electric Utilities Corp,"473,715",Furmano Foods
"93-125 Harbor Dr, Jersey City, NJ 07305","$302,551","3,087","Industrial, Manufacturing",Public Service Elec & Gas Co,"257,271",Db USA Corporation
"1425 Eden Road, York, PA 17402","$97,129","5,713","Industrial, Manufacturing",Metropolitan Edison Co,"476,124",York County Industrial Development Authority
"1 Lee Blvd, Malvern, PA 19355","$84,697","5,294","Industrial, Manufacturing",PECO Energy Co,"441,129",
"7101 Troy Hill Dr, Elkridge, MD 21075","$253,394","3,726","Industrial, Warehouse",Baltimore Gas & Electric Co,"310,532",Prologis
"1800 Central Rd, Mount Prospect, IL 60056","$156,554","6,262","Industrial, Manufacturing",Commonwealth Edison Co,"521,845",1800 W Central Owner LLC
"1251 US-9, Howell Township, NJ 07731","$99,199","2,067",Office,Jersey Central Power & Lt Co,"275,552",State of New Jersey
"300-302 Brush Creek Rd, Warrendale, PA 15086",—,—,Office,West Penn Power Co,"450,462",US Post Office
"11595 McConnell Rd, Woodstock, IL 60098","$158,685","6,347","Industrial, Manufacturing",Commonwealth Edison Co,"528,951","1530 McConnell, L.L.C."
"5000 W Roosevelt Rd, Chicago, IL 60644","$155,575","6,223","Industrial, Manufacturing",Commonwealth Edison Co,"518,582","Chicago Note Ventures, LLC"
"201 Jandus Rd, Cary, IL 60013","$160,707","6,428","Industrial, Manufacturing",Commonwealth Edison Co,"535,689","TV Real Estate, LLC"
"400 Winks Ln, Bensalem Township, PA 19020","$82,188","5,137","Industrial, Manufacturing",PECO Energy Co,"428,064",Ivy Equities Management
"875 W Crossroads Pkwy, Romeoville, IL 60446","$158,413","6,337","Industrial, Manufacturing",Commonwealth Edison Co,"528,043","Duke Secured Financing 2006, LLC"
"200 Riser Rd, Little Ferry, NJ 07643","$320,181","3,267","Industrial, Manufacturing",Public Service Elec & Gas Co,"272,263",Dassault Falcon Jet Corp.
"970 New Brunswick Ave, Rahway, NJ 07065","$303,021","3,092","Industrial, Manufacturing",Public Service Elec & Gas Co,"257,671",Rahway SD LLC
"483 Winthrop St, Medford, MA 02155","$202,190","2,022",Office,National Grid - Massachusetts,"269,586",Medford High School
"5555 W 115th St, Alsip, IL 60803","$155,486","6,219","Industrial, Manufacturing",Commonwealth Edison Co,"518,286","Alsip South Central, Inc."
"440 5th Ave, Chambersburg, PA 17201",—,—,"Industrial, Manufacturing",West Penn Power Co,"409,659",Tb Wood's Incorporated
"1 Earl Ct, Woodridge, IL 60517","$161,327","6,453","Industrial, Manufacturing",Commonwealth Edison Co,"537,758",Prologis
"815 Fairview Ave, Fairview, NJ 07022","$303,488","3,097","Industrial, Manufacturing",Public Service Elec & Gas Co,"258,068",
"455 Forest St, Marlborough, MA 01752","$319,534","3,195","Industrial, Manufacturing",National Grid - Massachusetts,"266,278",
"1 Wildcat Way, Weymouth, MA 02190","$198,824","1,988",Office,National Grid - Massachusetts,"265,098",Town Hall
"1200 Ingram Dr, Chambersburg, PA 17202",—,—,"Industrial, Warehouse",West Penn Power Co,"635,902",Ingram
"606 Chief Justice Cushing Hwy, Scituate, MA 02066","$188,182","1,882",Office,National Grid - Massachusetts,"250,910",Town of Scituate
"600 William S Canning Blvd, Fall River, MA 02721","$220,873","2,209","Retail, Strip Mall",National Grid - Massachusetts,"294,498",Market Basket
"515 Doremus Ave, Newark, NJ 07105","$303,032","3,092","Industrial, Manufacturing",Public Service Elec & Gas Co,"257,680",Cbre
"104 Commerce St, New Oxford, PA 17350","$96,790","5,694","Industrial, Manufacturing",Metropolitan Edison Co,"474,463",PCA Corrugated and Display LLC
"14400 McNulty Rd, Philadelphia, PA 19154","$81,020","5,064","Industrial, Manufacturing",PECO Energy Co,"421,977",Ivy Equities Management
"777 Central Blvd, Carlstadt, NJ 07072","$313,818","3,202","Industrial, Manufacturing",Public Service Elec & Gas Co,"266,852",Russo Development LLC
"3011 IL-176, Crystal Lake, IL 60014","$167,159","6,686","Industrial, Manufacturing",Commonwealth Edison Co,"557,196",SNAP-ON
"3200 S Central Ave, Cicero, IL 60804","$158,227","6,329","Industrial, Manufacturing",Commonwealth Edison Co,"527,423",Todd Pickard
"114 Tived Ln E, Edison, NJ 08837","$290,290","2,962","Industrial, Manufacturing",Public Service Elec & Gas Co,"246,845",Tived Lane LLC
"4581 Lower Valley Rd, Atglen, PA 19310","$81,717","5,107","Industrial, Manufacturing",PECO Energy Co,"425,609",International Paper
