Property address,CS - NOI,CS - PV size (kW),Building type,Utility,Gross roof area (ft²),Owner name
"7000 Arundel Mills Cir, Severn, MD 21076","$828,450","12,183","Retail, Strip Mall",Baltimore Gas & Electric Co,"1,624,411",COSTCO
"11160 Veirs Mill Rd, Wheaton-Glenmont, MD 20902","$428,342","6,693","Retail, Strip Mall",Potomac Electric Power Co,"892,379",Shopping Center Associates
"10341 Westlake Dr, Bethesda, MD 20817","$395,629","6,182","Retail, Strip Mall",Potomac Electric Power Co,"824,227",Montgomery Mall LLC
"9001 Rockville Pike, Bethesda, MD 20892","$315,220","4,925",Hospital,Potomac Electric Power Co,"656,709",Dept of Liquor Control
"601 Chelsea Rd, Aberdeen, MD 21001","$738,590","10,862","Industrial, Manufacturing",Baltimore Gas & Electric Co,"905,135","Artemis Real Estate Partners, LLC"
"103 Chesapeake Park Plaza, Middle River, MD 21220","$443,907","6,528",Office,Baltimore Gas & Electric Co,"870,405",Lockheed Martin Corporation
"7401 S Cicero Ave, Chicago, IL 60629","$375,000","15,000","Industrial, Manufacturing",Commonwealth Edison Co,"2,311,081","Tootsie Roll Mfg., Inc."
"626 Hanover Pike, Hampstead, MD 21074","$639,890","9,410","Industrial, Manufacturing",Baltimore Gas & Electric Co,"784,179",State of Maryland
"701 Russell Ave, Gaithersburg, MD 20877","$320,694","5,011","Retail, Strip Mall",Potomac Electric Power Co,"668,112","Lakeforest Development, LLC"
"6301 Bethlehem Blvd, Edgemere, MD 21219","$622,374","9,153","Industrial, Manufacturing",Baltimore Gas & Electric Co,"762,713","Tpa Properties 16, LLC"
"8700 Robert Fulton Dr, Columbia, MD 21046","$590,072","8,678","Industrial, Manufacturing",Baltimore Gas & Electric Co,"723,127",Db USA Corporation
"400 Bennett Cerf Dr, Westminster, MD 21157","$820,650","12,068","Industrial, Warehouse",Baltimore Gas & Electric Co,"1,005,699",Penguin Random House
"9500 Macarthur Blvd, Bethesda, MD 20817","$254,397","3,975",Office,Potomac Electric Power Co,"529,993",U.S. America Realty Inc.
"600 N Wolfe St, Baltimore, MD 21287","$345,556","5,082",Hospital,Baltimore Gas & Electric Co,"677,561","Johns Hopkins Hospital, The"
"12600 S Torrence Ave, Chicago, IL 60633","$375,000","15,000","Industrial, Manufacturing",Commonwealth Edison Co,"2,040,290",Ford
"443 Shaker Rd, East Longmeadow, MA 01028","$650,000","6,500","Industrial, Manufacturing",National Grid - Massachusetts,"1,076,449",Cartamundi East Longmeadow LLC
"511 Chelsea Rd, Aberdeen, MD 21001","$550,958","8,102","Industrial, Manufacturing",Baltimore Gas & Electric Co,"675,194",Blackstone
"2100 Washington Blvd, Baltimore, MD 21230","$516,254","7,592","Industrial, Manufacturing",Baltimore Gas & Electric Co,"632,664",Putnam Crossing LLC
"913 Old Philadelphia Rd, Aberdeen, MD 21001","$519,063","7,633","Industrial, Manufacturing",Baltimore Gas & Electric Co,"636,107",State of Maryland
"2500 Broening Hwy, Baltimore, MD 21224","$512,959","7,544","Industrial, Manufacturing",Baltimore Gas & Electric Co,"628,626",State of Maryland
"4301 Byberry Rd, Philadelphia, PA 19154","$226,370","14,148","Retail, Strip Mall",PECO Energy Co,"1,886,416","Simon Property Group Administrative Services Partnership, L.P."
"26537 S Walton Dr, Elwood, IL 60421","$375,000","15,000","Industrial, Manufacturing",Commonwealth Edison Co,"1,791,418",Wal-Mart
"825 Dulaney Valley Rd, Towson, MD 21204","$332,441","4,889","Retail, Strip Mall",Baltimore Gas & Electric Co,"651,845",JP Morgan Asset Management
"101 Kingston Collection Way, Kingston, MA 02364","$507,000","6,500","Retail, Strip Mall",Eversource Energy (Formerly NSTAR Electric Company),"971,360",
"6170 Grand Ave, Gurnee, IL 60031","$375,000","15,000","Retail, Strip Mall",Commonwealth Edison Co,"2,187,574",Macy's
"2800 Eastern Blvd, Middle River, MD 21220","$824,548","12,126","Industrial, Warehouse",Baltimore Gas & Electric Co,"1,010,475",State Highway Administration
"1 W Pratt St, Baltimore, MD 21201","$283,903","4,175",Office,Baltimore Gas & Electric Co,"556,672",
"6001 Bethlehem Blvd, Edgemere, MD 21219","$834,193","12,268","Industrial, Warehouse",Baltimore Gas & Electric Co,"1,022,295","Tpa Properties 16, LLC"
"701 E Lincoln Hwy, Chicago Heights, IL 60411","$375,000","15,000","Retail, Strip Mall",Commonwealth Edison Co,"2,134,779",White Castle
"7801 Eastern Ave, Baltimore, MD 21224","$318,171","4,679","Retail, Strip Mall",Baltimore Gas & Electric Co,"623,864",State of Maryland
"1238 Putty Hill Ave, Towson, MD 21286","$313,592","4,612","Retail, Strip Mall",Baltimore Gas & Electric Co,"614,887",Kimco
"53 Pottsville St, Cressona, PA 17929","$330,433","16,522","Industrial, Manufacturing",PPL Electric Utilities Corp,"1,376,803",Sapa Industrial Extrusions
"400 N Center St, Westminster, MD 21157","$315,214","4,635","Retail, Strip Mall",Baltimore Gas & Electric Co,"618,066","Town Mall Pad Sites, LLC"
"7900 Ritchie Hwy, Glen Burnie, MD 21061","$310,392","4,565","Retail, Standalone",Baltimore Gas & Electric Co,"608,611","Marley Station Realty, LLC"
"100 Papercraft Ave, Pittsburgh, PA 15238","$165,230","10,327","Industrial, Manufacturing",Duquesne Light Co,"860,571","Stag Industrial, Inc."
"3101 Donnell Dr, District Heights, MD 20747","$212,213","3,316","Retail, Strip Mall",Potomac Electric Power Co,"442,111",Walter Petrie
"8416 Kelso Dr, Essex, MD 21221","$418,908","6,160","Industrial, Manufacturing",Baltimore Gas & Electric Co,"513,368",JP Morgan Asset Management
"1701 University Pkwy, University Park, IL 60484","$375,000","15,000","Industrial, Manufacturing",Commonwealth Edison Co,"1,523,272",
"600 Baltimore Pike, Bel Air, MD 21014","$277,418","4,080","Retail, Strip Mall",Baltimore Gas & Electric Co,"543,957",Cbl
"50 Holyoke St, Holyoke, MA 01040","$495,241","6,349","Retail, Strip Mall",Eversource Energy (Formerly NSTAR Electric Company),"846,566",Holyoke Mall
"1201 Keystone Blvd, Pottsville, PA 17901","$181,155","9,058",Office,PPL Electric Utilities Corp,"1,207,701",Lowe's
"5107 North Point Blvd, Sparrows Point, MD 21219","$388,657","5,716","Industrial, Manufacturing",Baltimore Gas & Electric Co,"476,295",Scott Graham
"1950 Mack Blvd, Allentown, PA 18103","$281,101","14,055","Industrial, Manufacturing",PPL Electric Utilities Corp,"1,171,254",Neu Logistics Services
"48-50 Station Rd, Cranbury, NJ 08512","$240,000","5,000","Industrial, Manufacturing",Jersey Central Power & Lt Co,"943,551","Clarion Partners, LLC"
"9325 Berger Rd, Columbia, MD 21046","$367,137","5,399","Industrial, Manufacturing",Baltimore Gas & Electric Co,"449,923",Blackstone
"592 Pittsburgh Mills Cir, Tarentum, PA 15084",—,—,"Retail, Strip Mall",West Penn Power Co,"1,250,387",Namdar Realty Group LLC
"12 Brodhead Rd, Monaca, PA 15061","$104,086","6,505","Retail, Standalone",Duquesne Light Co,"867,385",Beaver Valley Mall C O NA
"18 Hights.cran, Cranbury, NJ 08512","$240,000","5,000","Industrial, Manufacturing",Jersey Central Power & Lt Co,"889,067","Clarion Partners, LLC"
"12 Applegate Dr, Robbinsville Township, NJ 08691","$240,000","5,000","Industrial, Manufacturing",Jersey Central Power & Lt Co,"690,882",City of Trenton
"354-380 Deans Rhode Hall Rd, Monroe Township, NJ 08831","$240,000","5,000","Industrial, Manufacturing",Jersey Central Power & Lt Co,"744,702",Prologis
"258 Prospect Plains Rd, Cranbury, NJ 08512","$240,000","5,000","Industrial, Manufacturing",Jersey Central Power & Lt Co,"844,209",Bentall Kennedy
"66 Station Rd, East Windsor, NJ 08512","$240,000","5,000","Industrial, Manufacturing",Jersey Central Power & Lt Co,"703,230",Prologis
"1480 Manheim Pike, Lancaster, PA 17601","$258,325","12,916","Industrial, Manufacturing",PPL Electric Utilities Corp,"1,076,356",Arconic US LLC
"400 W Lincoln Ave, Lititz, PA 17543","$259,348","12,967","Industrial, Manufacturing",PPL Electric Utilities Corp,"1,080,617",Johnson Johnson Consmr Pdts Co
"6163 Oxon Hill Rd, Oxon Hill, MD 20745","$185,195","2,894","Retail, Strip Mall",Potomac Electric Power Co,"385,823",Issac Massry
"61 Station Rd, Cranbury, NJ 08512","$240,000","5,000","Industrial, Manufacturing",Jersey Central Power & Lt Co,"791,483",Blackstone
"175 Kenneth Welch Dr, Lakeville, MA 02347","$481,041","6,167","Industrial, Manufacturing",Eversource Energy (Formerly NSTAR Electric Company),"513,933",
"811 NJ-33, Freehold, NJ 07728","$240,000","5,000","Industrial, Manufacturing",Jersey Central Power & Lt Co,"778,264",Iron Mountain
"355 Davidson's Mill Rd, Monroe Township, NJ 08831","$240,000","5,000","Industrial, Manufacturing",Jersey Central Power & Lt Co,"717,092","Den Industrial 2, LLC"
"6670 LOWE ST, BLOOMSBURG, PA 17815","$277,250","13,862","Industrial, Manufacturing",PPL Electric Utilities Corp,"1,155,208","Post Brands Pet Care, LLC"
"2200 Channahon Rd, Rockdale, IL 60436","$375,000","15,000","Industrial, Manufacturing",Commonwealth Edison Co,"1,288,815",Thomas Crum
"1 Barnes And Noble Wy, Monroe Township, NJ 08831","$240,000","5,000","Industrial, Manufacturing",Jersey Central Power & Lt Co,"1,124,101",Centerpoint Russell LLC
"1242 S River Rd, Cranbury, NJ 08512","$240,000","5,000","Industrial, Manufacturing",Jersey Central Power & Lt Co,"845,205",Glp US Management LLC
"1000 Woodfield Rd, Schaumburg, IL 60173","$241,009","9,640",Office,Commonwealth Edison Co,"1,285,384",Village of Schaumburg
"20 Gillette Park, Boston, MA 02127","$355,653","4,560",Office,Eversource Energy (Formerly NSTAR Electric Company),"607,954",P&G
"5197 Commerce Dr, York, PA 17408","$232,549","13,679","Industrial, Manufacturing",Metropolitan Edison Co,"1,139,948",Church & Dwight
"216 Greenfield Rd, Lancaster, PA 17601","$244,915","12,246","Industrial, Manufacturing",PPL Electric Utilities Corp,"1,020,481",
"6403 6th Ave, Koppel, PA 16136",—,—,"Industrial, Manufacturing",West Penn Power Co,"1,088,082",Nucor
"1200 County Rd 523, Flemington, NJ 08822","$240,000","5,000","Industrial, Manufacturing",Jersey Central Power & Lt Co,"709,862",1213 Route 22 LLC
"122 Mill Rd, Phoenixville, PA 19460","$190,939","11,934","Industrial, Manufacturing",PECO Energy Co,"994,474","Oaks Mills, Inc."
"201 Middlesex Center Blvd, Monroe Township, NJ 08831","$240,000","5,000","Industrial, Manufacturing",Jersey Central Power & Lt Co,"615,996",
"22 Hights.cran, East Windsor, NJ 08512","$240,000","5,000","Industrial, Manufacturing",Jersey Central Power & Lt Co,"993,524","Clarion Partners, LLC"
"111 Cokesbury Rd, Lebanon, NJ 08833","$240,000","5,000","Industrial, Manufacturing",Jersey Central Power & Lt Co,"742,940",111 COKESBURY LLC
"80 N Main St, Wharton, NJ 07885","$240,000","5,000","Industrial, Manufacturing",Jersey Central Power & Lt Co,"851,167",Jonathan Kramer
"257 Prospect Plains Rd, East Windsor, NJ 08512","$240,000","5,000","Industrial, Manufacturing",Jersey Central Power & Lt Co,"999,793",Glp US Management LLC
"555 Nestle Way, Breinigsville, PA 18031","$249,083","12,454","Industrial, Manufacturing",PPL Electric Utilities Corp,"1,037,845","Vereit, Inc."
"1400 Bush St, Baltimore, MD 21230","$332,748","4,893","Industrial, Manufacturing",Baltimore Gas & Electric Co,"407,780",MRC Bearing
"703 Bartley-Chester Rd, Mount Olive, NJ 07836","$240,000","5,000","Industrial, Manufacturing",Jersey Central Power & Lt Co,"1,308,548",
"401 Cabot Dr, Trenton, NJ 08691","$240,000","5,000","Industrial, Manufacturing",Jersey Central Power & Lt Co,"608,437",Db USA Corporation
"650 Emerald Dr, Joliet, IL 60433","$371,258","14,850","Industrial, Manufacturing",Commonwealth Edison Co,"1,237,528","IKEA PROPERTY, INC."
"150 Milford Rd, East Windsor, NJ 08520","$240,000","5,000","Industrial, Manufacturing",Jersey Central Power & Lt Co,"607,574",150 Milford Owner LLC
"1 Kresge Rd, Fairless Hills, PA 19030","$404,440","25,277","Industrial, Warehouse",PECO Energy Co,"2,106,457",Kin Properties Inc.
"1000 Old Philadelphia Rd, Aberdeen, MD 21001","$337,396","4,962","Industrial, Manufacturing",Baltimore Gas & Electric Co,"413,476",Blackstone
"3350 Gehman Rd, Macungie, PA 18062","$244,273","12,214","Industrial, Manufacturing",PPL Electric Utilities Corp,"1,017,804",Lower Macungie Township
"400 First Ave, Gouldsboro, PA 18424","$254,315","12,716","Industrial, Manufacturing",PPL Electric Utilities Corp,"1,059,646",
"2199 Duss Ave, Ambridge, PA 15003","$122,038","7,627","Industrial, Manufacturing",Duquesne Light Co,"635,613",Nucor
"640 Atlantic Ave, Boston, MA 02111","$396,404","5,082","Retail, Strip Mall",Eversource Energy (Formerly NSTAR Electric Company),"677,613",
"20 Harry Shupe Blvd, Wharton, NJ 07885","$240,000","5,000","Industrial, Manufacturing",Jersey Central Power & Lt Co,"618,965",Jonathan Kramer
"766 Brackbill Rd, Gap, PA 17527","$120,162","7,510","Industrial, Data Center",PECO Energy Co,"1,001,349",Castle & Crown
"117 Interstate Blvd, Monroe Township, NJ 08831","$240,000","5,000","Industrial, Manufacturing",Jersey Central Power & Lt Co,"594,228",Prologis
"1000 Commerce Dr, Berwick, PA 18603","$244,624","12,231","Industrial, Manufacturing",PPL Electric Utilities Corp,"1,019,265",Dollar Tree
"1000 N Cannon Ave, Lansdale, PA 19446","$173,963","10,873","Industrial, Manufacturing",PECO Energy Co,"906,056",Ksip I Piccard LLC
"4501 Hollins Ferry Rd, Halethorpe, MD 21227","$305,989","4,500","Industrial, Manufacturing",Baltimore Gas & Electric Co,"374,987","One Liberty Properties, Inc."
"100 Park City Center, Lancaster, PA 17601","$160,330","8,017","Retail, Strip Mall",PPL Electric Utilities Corp,"1,068,869",Brookfield Asset Management LLC
"11400 Venture Ct, Huntley, IL 60142","$348,067","13,923","Industrial, Manufacturing",Commonwealth Edison Co,"1,160,223","Usef Whisper, LLC"
"14398 Baltimore Ave, Laurel, MD 20707","$218,897","3,219","Retail, Strip Mall",Baltimore Gas & Electric Co,"429,210","Laurel Lakes, LLC"
"1111 Southampton Rd, Westfield, MA 01085","$377,000","6,500","Industrial, Manufacturing",Eversource Energy (Formerly Western Massachusetts Elec Co),"655,084",Morgan Stanley
"100 Liberty Way, East Windsor, NJ 08512","$240,000","5,000","Industrial, Manufacturing",Jersey Central Power & Lt Co,"567,010",CRANSUD ONE L.L.C.
"400 Cabot Dr, Hamilton Township, NJ 08691","$240,000","5,000","Industrial, Manufacturing",Jersey Central Power & Lt Co,"563,686",Blackstone
"400 Hahn Rd, Westminster, MD 21157","$196,799","2,894",Office,Baltimore Gas & Electric Co,"385,881",Penguin Random House LLC
"1000 Fort Duquesne Blvd, Pittsburgh, PA 15222","$75,067","4,692",Office,Duquesne Light Co,"625,560",County of Allegheny
"1711 Ritchie Station Ct, Forestville, MD 20747","$155,660","2,432","Retail, Strip Mall",Potomac Electric Power Co,"324,291","Ritchie Hill, LLC"
"39 Perry Ave, Attleboro, MA 02703","$650,000","6,500","Industrial, Manufacturing",National Grid - Massachusetts,"550,956",Engineered Materials Solutions
"1475 Nitterhouse Dr, Chambersburg, PA 17202",—,—,"Industrial, Manufacturing",West Penn Power Co,"856,084",Prologis
"7125 Columbia Gateway Dr, Columbia, MD 21046","$188,214","2,768","School, Primary",Baltimore Gas & Electric Co,"369,047",Copt Defense Properties
"300 S Salem Church Rd, York, PA 17408","$205,116","12,066","Industrial, Manufacturing",Metropolitan Edison Co,"1,005,470",
"3710 US-9, Freehold, NJ 07728","$240,000","5,000","Retail, Strip Mall",Jersey Central Power & Lt Co,"800,256",Macerich Company
"1319 Perryman Rd, Aberdeen, MD 21001","$305,453","4,492","Industrial, Manufacturing",Baltimore Gas & Electric Co,"374,330",Clorox
"155 Kriner Rd, Chambersburg, PA 17202",—,—,"Industrial, Manufacturing",West Penn Power Co,"838,311",Prologis Management
"45 Ashley Way, Leesport, PA 19533","$249,484","14,676","Industrial, Warehouse",Metropolitan Edison Co,"1,222,963",Ashley Furniture Homestore
"4 Silver City Dr, Taunton, MA 02780","$472,865","4,729","Retail, Strip Mall",National Grid - Massachusetts,"630,487",Taunton Owner 2 LLC
"469 N Sharpsville Ave, Sharon, PA 16146",—,—,"Industrial, Manufacturing",Pennsylvania Power Co - FirstEnergy,"688,173",Winner International
"15740 Shady Grove Rd, Gaithersburg, MD 20877","$147,057","2,298","Retail, Strip Mall",Potomac Electric Power Co,"306,368","Black Creek Group, LLC"
"500 N Lingle Ave, Palmyra, PA 17078","$386,562","19,328","Industrial, Warehouse",PPL Electric Utilities Corp,"1,610,674",Hershey Cemetery Company
"1200 Morris Tpke, Millburn, NJ 07078","$240,000","5,000","Retail, Strip Mall",Jersey Central Power & Lt Co,"912,115","Simon Property Group Administrative Services Partnership, L.P."
"5500 Quarantine Rd, Baltimore, MD 21226","$296,225","4,356","Industrial, Manufacturing",Baltimore Gas & Electric Co,"363,021",USG
"793 Iyannough Rd, Barnstable, MA 02601","$344,138","4,412","Retail, Standalone",Eversource Energy (Formerly NSTAR Electric Company),"588,271",Federated Holdings Inc
"7100 Holladay Tyler Rd, Glenn Dale, MD 20769","$292,654","4,304","Industrial, Manufacturing",Baltimore Gas & Electric Co,"358,645",Blackstone
"3000 Am Dr, Quakertown, PA 18951","$173,481","10,843","Industrial, Manufacturing",PECO Energy Co,"903,545",Steven Wasser
"5 Gateway Blvd, Oldmans Township, NJ 08067","$475,000","5,000","Industrial, Manufacturing",Atlantic City Electric Co,"1,052,594","5 GATEWAY BOULEVARD URBAN RENEWAL, LLC"
"200 N Dartmouth Mall, Dartmouth, MA 02747","$347,213","4,451","Retail, Strip Mall",Eversource Energy (Formerly NSTAR Electric Company),"593,526",North Dartmouth Mall
"160 N Gulph Rd, King of Prussia, PA 19406","$150,135","9,383","Retail, Standalone",PECO Energy Co,"1,251,128",SERITAGE
"7 Loveton Cir, Sparks Glencoe, MD 21152","$181,484","2,669",Office,Baltimore Gas & Electric Co,"355,850",
"2301 S Newkirk St, Baltimore, MD 21224","$293,690","4,319","Industrial, Manufacturing",Baltimore Gas & Electric Co,"359,914","Gold Bond Building Products, LLC"
"2121 Eden Rd, Millville, NJ 08332","$475,000","5,000","Industrial, Manufacturing",Atlantic City Electric Co,"660,044",T-Fal
"300 Clubhouse Rd, Cockeysville, MD 21031","$289,846","4,262","Industrial, Manufacturing",Baltimore Gas & Electric Co,"355,204","40 Clubhouse, LLC"
"1200 Westport Rd, Imperial, PA 15126","$201,132","12,571","Industrial, Warehouse",Duquesne Light Co,"1,047,562",Hillwood Investment Properties
"5561 S Archer Ave, Chicago, IL 60638","$314,368","12,575","Industrial, Manufacturing",Commonwealth Edison Co,"1,047,892",Manuel Chavez
"430 S Muddy Creek Rd, Denver, PA 17517","$360,943","18,047","Industrial, Warehouse",PPL Electric Utilities Corp,"1,503,928",David Ledy
"12012 Plum Orchard Dr, Silver Spring, MD 20904","$199,035","2,927","Retail, Strip Mall",Baltimore Gas & Electric Co,"390,264",Mital Desai
"5490 W Roosevelt Rd, Chicago, IL 60644","$310,943","12,438","Industrial, Manufacturing",Commonwealth Edison Co,"1,036,475","Oxford Properties Group (us), LP"
"1601 Edison Hwy, Baltimore, MD 21213","$177,791","2,615",Office,Baltimore Gas & Electric Co,"348,609",Acnb
"65 New York Ave, Pittsfield, MA 01201","$377,000","6,500","Industrial, Manufacturing",Eversource Energy (Formerly Western Massachusetts Elec Co),"626,516",GE Aerospace
"58 Station Rd, East Windsor, NJ 08512","$240,000","5,000","Industrial, Manufacturing",Jersey Central Power & Lt Co,"505,830",Prologis
"1 Commerce Dr, Barrington, NJ 08007","$490,000","5,000","Industrial, Manufacturing",Public Service Elec & Gas Co,"682,146",Barrington Holdings LLC
"3075 Clairton Rd, West Mifflin, PA 15123","$78,252","4,891","Retail, Strip Mall",Duquesne Light Co,"652,100",Island C-III Capital
"1470 Progress Way, Eldersburg, MD 21784","$279,183","4,106","Industrial, Manufacturing",Baltimore Gas & Electric Co,"342,136","Almanac Realty Investors, LLC"
"466 Nixon Rd, Cheswick, PA 15024","$107,149","6,697","Industrial, Manufacturing",Duquesne Light Co,"558,066",Hayden Maguire Realty
"1332 Londontown Blvd, Eldersburg, MD 21784","$282,659","4,157","Industrial, Manufacturing",Baltimore Gas & Electric Co,"346,396","K&S Londontown De, LLC"
"100 Jefferson Rd, Parsippany-Troy Hills, NJ 07054","$240,000","5,000","Industrial, Manufacturing",Jersey Central Power & Lt Co,"541,828",100 Jefferson F&S LLC
"5300 Nottingham Dr, White Marsh, MD 21236","$481,463","7,080","Industrial, Warehouse",Baltimore Gas & Electric Co,"590,028","First Industrial Realty Trust, Inc."
"795 Faunce Corner Rd, Dartmouth, MA 02747","$273,240","3,503",Office,Eversource Energy (Formerly NSTAR Electric Company),"467,077","New Bedford, City of (inc)"
"3095 Corporate Dr, DeKalb, IL 60115","$303,296","12,132","Industrial, Manufacturing",Commonwealth Edison Co,"1,010,987","AR Capital Investment, LLC"
"1100 Woodley Rd, Perryman, MD 21130","$536,503","7,890","Industrial, Warehouse",Baltimore Gas & Electric Co,"657,479",Prudential Private Capital
"8024 Telegraph Rd, Severn, MD 21144","$276,857","4,071","Industrial, Manufacturing",Baltimore Gas & Electric Co,"339,286",Vincent Signorello
"4545 Annapolis Rd, Baltimore, MD 21227","$173,745","2,555",Office,Baltimore Gas & Electric Co,"340,676",Mary Hamel
"100 Commercial Rd, Leominster, MA 01453","$450,833","4,508","Retail, Strip Mall",National Grid - Massachusetts,"601,110","Leigh Ms Mall, LLC"
"21705 W Mississippi Ave, Elwood, IL 60421","$306,663","12,267","Industrial, Manufacturing",Commonwealth Edison Co,"1,022,210",Liberty Property
"1900 River Rd, Burlington, NJ 08016","$490,000","5,000","Industrial, Manufacturing",Public Service Elec & Gas Co,"684,553","Clarion Partners, LLC"
"1200 US-22, Phillipsburg, NJ 08865","$235,721","4,911","Retail, Strip Mall",Jersey Central Power & Lt Co,"654,780",
"21837 W Mississippi Ave, Elwood, IL 60421","$304,118","12,165","Industrial, Manufacturing",Commonwealth Edison Co,"1,013,728",KOCH HYDROCARBON COMPANY
"950 Convery Blvd, Perth Amboy, NJ 08861","$490,000","5,000","Industrial, Manufacturing",Public Service Elec & Gas Co,"492,405",Prologis
"31 Saw Mill Pond Rd, Edison, NJ 08817","$490,000","5,000","Industrial, Manufacturing",Public Service Elec & Gas Co,"1,008,133",I Heller Construction Co
"900 Knell Rd, Montgomery, IL 60538","$297,124","11,885","Industrial, Manufacturing",Commonwealth Edison Co,"990,413",ALLSTEEL 900 KNELL LLC
"549 Mill Rd, Edison, NJ 08837","$490,000","5,000","Industrial, Manufacturing",Public Service Elec & Gas Co,"571,464",Asb Capital Management LLC
"301 Herrod Blvd, South Brunswick Township, NJ 08810","$490,000","5,000","Industrial, Manufacturing",Public Service Elec & Gas Co,"598,561",Blackstone
"861 Nestle Way, Breinigsville, PA 18031","$197,394","9,870","Industrial, Manufacturing",PPL Electric Utilities Corp,"822,474",Blackstone
"1100 John Galt Way, Florence, NJ 08518","$490,000","5,000","Industrial, Manufacturing",Public Service Elec & Gas Co,"510,794","Whitesell Construction, Inc."
"1375 Harrisburg Pike, Lancaster, PA 17601","$193,732","9,687","Industrial, Manufacturing",PPL Electric Utilities Corp,"807,217",
"2400 83rd St, North Bergen, NJ 07047","$490,000","5,000","Industrial, Manufacturing",Public Service Elec & Gas Co,"520,680",2400 83RD STREET L.LC.
"80 New County Rd, Secaucus, NJ 07094","$490,000","5,000",Office,Public Service Elec & Gas Co,"1,126,240",U S Government
"801 W Linden Ave, Linden, NJ 07036","$490,000","5,000","Industrial, Manufacturing",Public Service Elec & Gas Co,"493,292",Prologis
"2600 W Haven Ave, Joliet, IL 60433","$295,532","11,821","Industrial, Manufacturing",Commonwealth Edison Co,"985,105",Intercontinental Develpers
"301 S Hills Village, Pittsburgh, PA 15241","$73,913","4,620","Retail, Strip Mall",Duquesne Light Co,"615,943",Federal Realty Investment Trust
"901 W Linden Ave, Linden, NJ 07036","$490,000","5,000","Industrial, Manufacturing",Public Service Elec & Gas Co,"500,046",Prologis
"2209 Sulphur Spring Rd, Halethorpe, MD 21227","$261,224","3,842","Industrial, Manufacturing",Baltimore Gas & Electric Co,"320,128",Federal Capital Partners
"2760 Red Lion Rd, Philadelphia, PA 19114","$140,089","8,756","Industrial, Manufacturing",PECO Energy Co,"729,629",
"250 Daniels Way, Burlington, NJ 08016","$490,000","5,000","Industrial, Manufacturing",Public Service Elec & Gas Co,"991,204","Whitesell Construction, Inc."
"2300 US-1, North Brunswick Township, NJ 08902","$490,000","5,000","Industrial, Manufacturing",Public Service Elec & Gas Co,"531,599","SOMERSET PULTE LODGING JV, LLC"
"23700 W Bluff Rd, Channahon, IL 60410","$294,401","11,776","Industrial, Manufacturing",Commonwealth Edison Co,"981,338",Ares Industrial Real Estate Income Trust Inc.
"1 Silverline Dr, North Brunswick Township, NJ 08902","$490,000","5,000","Industrial, Manufacturing",Public Service Elec & Gas Co,"725,725",ARTKEN REALTY L.L.C.
"93 Werner Rd, Greenville, PA 16125",—,—,"Industrial, Manufacturing",Pennsylvania Power Co - FirstEnergy,"633,258",ILSCO EXTRUSIONS INC
"210 Andover St, Peabody, MA 01960",—,—,"Retail, Standalone",Peabody Municipal Light Plant,"884,875","Simon Property Group Administrative Services Partnership, L.P."
"2-24 Firmenich Way, Newark, NJ 07114","$490,000","5,000","Industrial, Manufacturing",Public Service Elec & Gas Co,"488,632","Clarion Partners, LLC"
"531 Chelsea Rd, Aberdeen, MD 21001","$547,022","8,044","Industrial, Warehouse",Baltimore Gas & Electric Co,"670,370",Cbre
"30 Clearview Rd, Edison, NJ 08837","$490,000","5,000","Industrial, Manufacturing",Public Service Elec & Gas Co,"473,532",30 CLEARVIEW ASSOCIATES LLC
"125 Green Tree Rd, Phoenixville, PA 19460","$150,933","9,433","Industrial, Manufacturing",PECO Energy Co,"786,110",Green Tree Owner LLC
"200 Centerpoint Blvd, Pittston, PA 18640","$340,975","17,049","Industrial, Warehouse",PPL Electric Utilities Corp,"1,420,730",Lowe's
"1501 Distribution Dr, Carlisle, PA 17013","$195,006","9,750","Industrial, Manufacturing",PPL Electric Utilities Corp,"812,526",Dp Partners
"1150 Commerce Blvd, Swedesboro, NJ 08085","$475,000","5,000","Industrial, Manufacturing",Atlantic City Electric Co,"608,313",Bentall Kennedy
"100 Ikea Rd, Perryville, MD 21903","$825,000","15,000","Industrial, Warehouse",Delmarva Power,"1,728,667",I K E A
"1 Middletown Blvd, Langhorne, PA 19047","$87,451","5,466",Office,PECO Energy Co,"728,758","Simon Property Group Administrative Services Partnership, L.P."
"366 S Stiles St, Linden, NJ 07036","$490,000","5,000","Industrial, Manufacturing",Public Service Elec & Gas Co,"469,081",Timothy Mckenna
"4 2nd St, Kearny, NJ 07032","$490,000","5,000","Industrial, Manufacturing",Public Service Elec & Gas Co,"577,388",CENTRAL AVENUE REAL ESTATE LLC
"6400 Ridge Rd, Sykesville, MD 21784","$183,296","2,696","Retail, Standalone",Baltimore Gas & Electric Co,"359,404","Black Oak Properties, LLC"
"1000 Wright Way, Cheswick, PA 15024","$99,237","6,202","Industrial, Manufacturing",Duquesne Light Co,"516,858",Electro-Mechanical Division
"1620 River Rd, Burlington, NJ 08016","$490,000","5,000","Industrial, Manufacturing",Public Service Elec & Gas Co,"484,080","Clarion Partners, LLC"
"1000 New County Rd, Secaucus, NJ 07094","$490,000","5,000","Industrial, Manufacturing",Public Service Elec & Gas Co,"538,212",NJ Transit
